題目分類,題號,答案,題目
著作權,161,2,小佳是否可將所購買的正版韓劇DVD，置於網路上販售呢？（1）不可以，小佳須經過著作財產權人之同意，否則會侵害其散布權。（2）可以，小佳是在我國管轄區域內取得合法重製物的所有權，得以移轉所有權之方式（如買賣、贈與）散布該合法重製物，因此小佳可上網拍賣其所購買之正版韓劇DVD。
著作權,162,3,珍妮在網路上發現一篇「如何健康減肥」文章，閱讀完之後認為該篇文章對健康減肥提供非常多良好的建議，因而全文原封不動上傳至自己的facebook，欲與親朋好友分享，請問珍妮的行為可能會涉及那些著作財產權的侵害呢？（1）重製權。（2）公開傳輸權。（3）以上皆是。
著作權,163,2,安安看到最近很夯的「創意市集」中，販售許多手繪圖案的衣服，衣服上都是手繪知名的卡通圖案，但外觀上已完全轉變為另一套獨具風格的著作，安安看到後也想效仿該種作法，依據知名卡通圖案進行改作，繪製於衣服上再到創意市集販售，請問是否會有侵害著作權之問題呢？（1）既然已經轉變為另一套獨具風格的著作，就不會侵害原著作者的著作權。（2）在卡通圖案外加入自己的創意另為創作，會構成著作權法的「改作」行為，「改作」為著作權人所專有，安安除有可以合理使用的情形（著作權法第44條至第65條）外，應事先取得著作財產權人的同意或授權，才能合法利用，否則可能構成侵害著作權之行為。
商權權,164,1,領有證書的商標權年限為多久？(1)10年，到期可申請展期，可無限次展期。(2)20年
商權權,165,4,阿布不懂為什麼要有商標？您知道商標有那些功能嗎？(1)商品來源之識別功能(2)品質保證的功能(3)廣告功能(4)以上皆是
商權權,166,1,菲菲打算要到美國開分店，那她是否也需要再當地申請商標才能受保護？(1)是，因為商標係採屬地主義。(2)否，已經在台灣申請了，所以不需要。
商權權,167,1,阿布聽見垃圾車「少女的祈禱」音樂，突然有用音樂當做商標的靈感，請問是否可行？(1)是，聲音可作為商標。(2)否，聲音不可作為商標。
商權權,168,2,阿丹在網路上拍賣仿冒包包，因為他只是販賣而不是製造的廠商，所以沒有侵權的問題對不對？（1）沒錯啊！（2）不對！不論是販賣或製造，都是構成侵權的行為，要負擔相關法律責任。
專利權,169,2,阿龐發明了一種自動餵狗吃飯的機器，請問要向哪個機關申請專利權？(1)財政部國稅局(2)經濟部智慧財產局(3)行政院新聞局
專利權,170,1,阿龐和小艾不約而同的發明了同一種自動餵狗吃飯的機器，兩人也先後向智慧財產局提出專利申請，請問他們二人可以同時擁有專利權嗎？(1)不可以，因為專利採先申請主義，因此由先申請者優先取得專利權。(2)可以。
專利權,171,2,阿龐有設計可輕鬆闖電腦城寶物的概念，這概念是否為專利保護的標的？(1)是。(2)否，專利不保護概念，必須揭露具體可行的技術內容，並可供該領域人士據以實施者，才可獲得專利保護。
